Model, Date, Training Time, Evaluation KFold, Evaluation TestSet, AUGMENT, EPOCH, BATCH_SIZE, SEED, KFOLD_SPLIT, PATIENCE
simple_mlp,2021-08-16 17:22:28.518672,12.293149240000275,0.9385696053504944,0.937333345413208,0,500,100,42,3,10
simple_mlp,2021-08-16 17:22:36.073104,12.293149240000275,0.9385696053504944,0.937333345413208,0,500,100,42,3,10
simple_mlp,2021-08-16 17:36:08.558137,8.281875961999958,0.9279980262120565,0.9393333196640015,0,500,100,42,3,10
simple_mlp,2021-08-16 17:37:04.839141,8.244040316000337,0.9320025046666464,0.9353333115577698,0,500,100,42,3,10
simple_mlp,2021-08-16 17:38:44.505255,7.819257646999631,0.9299972256024679,0.9346666932106018,0,500,100,42,3,10
simple_mlp,2021-08-16 17:39:29.639026,26.37110232799978,0.9881417155265808,0.9566666483879089,1,500,100,42,3,10
simple_mlp,2021-08-16 17:40:12.450739,8.478683029999956,0.9274250467618307,0.9340000152587891,0,500,100,42,3,10
simple_mlp,2021-08-16 17:40:59.312538,9.068197517000044,0.9385705987612406,0.9240000247955322,0,500,100,42,3,10
simple_mlp,2021-08-16 17:41:38.471262,8.225872511000034,0.9348546663920084,0.9313333630561829,0,500,100,42,3,10
simple_mlp,2021-08-16 17:42:20.648821,8.912315298000067,0.9305699467658997,0.9366666674613953,0,500,100,42,3,10
simple_mlp,2021-08-16 17:43:19.553950,9.96494884699996,0.9362855354944865,0.9313333630561829,0,500,100,42,3,10
simple_mlp,2021-08-16 17:44:25.670474,8.533475889999863,0.9300026098887125,0.9293333292007446,0,500,100,42,3,10
simple_mlp,2021-08-16 17:45:17.329056,7.8237222810003,0.9240016341209412,0.9300000071525574,0,500,100,42,3,10
simple_mlp,2021-08-16 17:46:01.352076,8.728385000999879,0.934282918771108,0.9346666932106018,0,500,100,42,3,10
simple_mlp,2021-08-16 17:47:22.653349,62.10362878299975,0.9941425124804179,0.9553333520889282,1,500,100,42,3,10
simple_mlp,2021-08-16 17:48:24.539618,34.900245567000184,0.992380956808726,0.9653333425521851,2,500,100,42,3,10
simple_mlp,2021-08-16 17:49:48.400897,54.01749244699977,0.9945001800855001,0.9673333168029785,3,500,100,42,3,10
simple_mlp,2021-08-16 17:51:16.628690,50.69939890700016,0.9965713222821554,0.9633333086967468,4,500,100,42,3,10
simple_mlp,2021-08-16 17:53:10.827615,72.45817124999985,0.9980476299921671,0.9673333168029785,5,500,100,42,3,10
simple_mlp,2021-08-16 17:55:29.386961,93.50836882500062,0.9989795486132304,0.9713333249092102,6,500,100,42,3,10
simple_mlp,2021-08-16 17:58:17.187582,115.15752975600026,0.998464306195577,0.9593333601951599,7,500,100,42,3,10
simple_mlp,2021-08-16 18:02:25.797068,187.9099815690006,0.9994920690854391,0.9626666903495789,8,500,100,42,3,10
simple_mlp,2021-08-16 18:05:20.634919,111.03004189700005,0.9991714358329773,0.9626666903495789,9,500,100,42,3,10
simple_mlp,2021-08-16 18:09:11.492285,158.46434082799988,0.9992467562357584,0.9693333506584167,10,500,100,42,3,10
simple_mlp,2021-08-16 18:12:39.346577,133.99804878000032,0.9985714356104533,0.9679999947547913,11,500,100,42,3,10
simple_mlp,2021-08-16 18:15:42.607953,110.21119501099929,0.9980439146359762,0.9606666564941406,12,500,100,42,3,10
simple_mlp,2021-08-16 18:19:51.971757,167.49956506199942,0.9996326565742493,0.9646666646003723,13,500,100,42,3,10
simple_mlp,2021-08-16 18:24:25.897824,190.3029762819997,0.9996190667152405,0.9713333249092102,14,500,100,42,3,10
simple_mlp,2021-08-16 18:28:57.874590,182.8929909640001,0.9995000163714091,0.9599999785423279,15,500,100,42,3,10
simple_mlp,2021-08-16 18:33:36.518755,186.46634749499935,0.9996470411618551,0.9646666646003723,16,500,100,42,3,10
simple_mlp,2021-08-16 18:38:54.843728,224.20315939900047,0.9987460176150004,0.9700000286102295,17,500,100,42,3,10
simple_mlp,2021-08-16 18:45:01.219533,264.02106162699965,0.9996240536371866,0.9693333506584167,18,500,100,42,3,10
simple_mlp,2021-08-16 18:52:20.053824,330.44195074900017,0.9998714327812195,0.9626666903495789,19,500,100,42,3,10
simple_mlp,2021-08-16 19:39:22.128921,145.6572720540007,0.9988095362981161,0.9646666646003723,5,500,50,42,3,10
simple_mlp,2021-08-16 19:41:27.469662,85.76036923999891,0.9975918134053549,0.968666672706604,6,500,50,42,3,10
simple_mlp,2021-08-16 19:44:20.903024,127.243963506,0.9982499480247498,0.9646666646003723,7,500,50,42,3,10
simple_mlp,2021-08-16 19:48:00.388208,165.73823892199835,0.9992380936940511,0.968666672706604,8,500,50,42,3,10
simple_mlp,2021-08-16 19:51:24.405864,146.767854574,0.9984857042630514,0.9620000123977661,9,500,50,42,3,10
simple_mlp,2021-08-16 19:53:36.929511,93.89262059199973,0.9991428852081299,0.9646666646003723,5,500,100,42,3,10
simple_mlp,2021-08-16 19:55:30.579170,72.82208385999911,0.9965306123097738,0.9653333425521851,6,500,100,42,3,10
simple_mlp,2021-08-16 19:57:39.655706,80.4725025480002,0.9966784715652466,0.9679999947547913,7,500,100,42,3,10
simple_mlp,2021-08-16 20:00:18.824438,108.66239102899999,0.9985714356104533,0.968666672706604,8,500,100,42,3,10
simple_mlp,2021-08-16 20:03:47.518844,149.69565661100023,0.9982571800549825,0.9660000205039978,9,500,100,42,3,10
simple_mlp,2021-08-16 20:05:39.413319,73.80564749599944,0.998285710811615,0.9739999771118164,5,500,150,42,3,10
